50 Cent: Bulletproof,50 Cent: Bulletproof,Australia,Banned due to high impact gory violence. A censored version was later released.
Assassin's Creed,Assassin's Creed,Saudi Arabia,Was banned (for two weeks) because of perceived negative portrayal of Arabs
Battlefield III,Battlefield,Iran,Banned due to the intense battles of the fictional US invasion on Tehran as well as on the intense battle on the Grand Bazaar. Already prior to the ban many retail stores were removing copies of the said game from the shelves.
Battlefield IV,Battlefield,China,Banned due to the discrediting of China's national image as well as a threat to national security in which the Chinese Ministry claims that the game shows it a cultural invasion. 
BlazBlue II: Continuum Shift,BlazBlue,United Arab Emirates,Banned likely due to suggestive and revealing outfits on some characters.
Blitz I: The League,Blitz,Australia,Banned due to drug use related to incentives and rewards.
Blood,Blood,Brazil,Banned because of high impact violence.
BMX XXX,BMX XXX,Australia,Banned for high impact sexual references.A censored version was later released.
Bully,Bully,Brazil,Banned for showing violence and harassment in a school setting.
Call of Duty IV: Modern Warfare,Call of Duty,Saudi Arabia,Banned for a few weeks
Call of Duty IV: Modern Warfare,Call of Duty,United Arab Emirates,Banned possibly due to violence against Muslims. The ban has since been lifted.
Call of Duty: Black Ops II,Call of Duty,Pakistan,Banned for portraying Pakistanis negatively.
Carmageddon,Carmageddon,Brazil,Banned because of high impact violence against pedestrians.
Carmageddon,Carmageddon,United Kingdom,Was threatened with being refused certification in its uncut form. Was subsequently altered to replace humans with zombies. The restriction was later lifted and a patch was released to restore the original human content.
Carmageddon II: Carpocalypse Now,Carmageddon,Brazil,Banned because of high impact violence against pedestrians.
Catherine,Catherine,United Arab Emirates,Banned likely due to sexual themes and nudity.
Command & Conquer Generals,Command & Conquer Generals,China,Banned for smearing the image of China and the Chinese army despite the fact that the game presents China as a quasi-protagonist. Additionally the GLA campaign has the player destroy questionable targets such as the Three Gorges Dam and the Hong Kong Convention and Exhibition Centre.
Commandos I: Behind Enemy Lines,Commandos,Germany,Was banned because of Nazi references.
Condemned I: Criminal Origins,Condemned,Germany,Banned because of high impact violence and cruelty.
Condemned II: Bloodshot,Condemned,Germany,Banned because of high impact violence and cruelty.
Counter-Strike,Counter-Strike,Brazil,Banned because of high impact violence. The ban was later lifted and game is now being sold once again.
Dante's Inferno,Dante's Inferno,Malaysia,Cruelty hellish visions sexuality and content that was against Sharia.
Dark Sector,Dark Sector,Australia,Banned because of high impact gory violence involving mutilations. A censored version was later released.
Darksiders,Darksiders,United Arab Emirates,Banned likely due to contradicting with customs and traditions. Its sequel which feature similar themes was released without issues however and even had a localised print release for the PlayStation 3 version.
Dead Island,Dead Island,United Arab Emirates,Banned likely due to extreme depictions of violence and scantily-clad game characters. Ban did not extend to digital versions of the games however.
Dead Island: Riptide,Dead Island,United Arab Emirates,Banned likely due to extreme depictions of violence and scantily-clad game characters. Ban did not extend to digital versions of the games however.
Dead Rising,Dead Rising,Germany,Banned because of high impact violence and cruelty.
Dead Rising II,Dead Rising,Germany,Banned because of high impact violence and cruelty.
Dead Rising II,Dead Rising,United Arab Emirates,Banned likely due to violence gambling and nudity. The ban has since been lifted for newer prints of the game.
Doom,Doom,Brazil,Banned because of very high impact violence and offensive depictions of cruelty.
Dragon Age II,Dragon Age,United Arab Emirates,Banned likely due to sexual themes including having possible homosexual relationships.
Dragon Age: Origins,Dragon Age,United Arab Emirates,Banned likely due to sexual themes including having possible homosexual relationships. The ban has since been lifted for the digital versions of the game.
Dreamweb,Dreamweb,Australia,Banned because of a scene of sexualized violence. A censored edition was re-released after gaining an M rating.
Duke Nukem 3D,Duke Nukem,Brazil,Banned because of high impact violence.
EA Sports MMA,EA Sports,Denmark,This game was not released in Denmark because of a law prohibiting marketing for energy drinks which EA chose not to remove from the game.
EverQuest,EverQuest,Brazil,Banned because of X18+ references.
Fallout IV: New Vegas,Fallout,United Arab Emirates,Banned likely due to gambling and sexual themes.
Football Manager 2005,Football Manager,China,Banned for recognizing Tibet as an independent country. An edited version globally was later released.
God of War (series),God of War,Saudi Arabia,Banned due to the presence of interactive sex scenes partial nudity and sexual themes as well as the word God in the title.
God of War (series),God of War,United Arab Emirates,Banned likely due to high impact of violence gore and cruelty.
Grand Theft Auto (series),Grand Teft Auto,Brazil,Was banned because of high impact violence. This is only to the original GTA and is no longer banned (save for the music-related Barueri ban of Episodes from Liberty City)
Grand Theft Auto (series),Grand Teft Auto,Malaysia,
Grand Theft Auto (series),Grand Teft Auto,Saudi Arabia,Partial ban available in stores for about $100
Grand Theft Auto (series) on PC,Grand Teft Auto,Saudi Arabia,Only GTA V is available on Steam  to be released on March 2015 .
Grand Theft Auto (series),Grand Teft Auto,Thailand,because of an 18-year old Thai player who killed a taxi-driver similar to the gameplay in GTA
Grand Theft Auto (series),Grand Teft Auto,United Arab Emirates,Banned likely due to high impact of violence and cruelty. Prior to Vice City earlier titles were sold normally.
Grand Theft Auto III,Grand Teft Auto,South Korea,Banned by the KMRB because of violence and cruelty. Later lifted by the GRB.
Grand Theft Auto V,Grand Teft Auto,Saudi Arabia,Partial ban available in stores for about $100
Grand Theft Auto: Episodes from Liberty City,Grand Teft Auto,Brazil,Banned because it uses music by the Brazilian composer Hamilton da Silva Lourenço without correct permissions.
Grand Theft Auto: Vice City,Grand Teft Auto,South Korea,Banned by the KMRB because of violence and cruelty. Later lifted by the GRB.
Half-Life,Half-Life,Singapore,Banned because of excessive violence. The ban was met with uproar as the local gaming community and retailers scrambled to start petitions to save the game. The government decided to lift the ban after a week as the game had been released for more than a year and the ban will impact the local LAN gaming and retail market.
Harvester,Harvester,Germany,Was banned because of high impact violence and sex references
Hearts of Iron,Hearts of Iron,China,Banned for portraying Tibet Sinkiang and Manchuria as independent countries and Taiwan as under Japanese control.
Heavy Rain,Heavy Rain,Saudi Arabia,Banned because of nudity and a sex scene.
Heavy Rain,Heavy Rain,United Arab Emirates,Banned likely due to violent sexual content  and a sultry seduction scene.
Homefront,Homefront,South Korea,Banned to avoid increasing diplomatic tensions with North Korea and for its negative portrayal of Korean culture.
Hotline Miami II: Wrong Number,Hotline Miami,Australia,Banned due to a scene of sexual violence.
I.G.I.-2: Covert Strike,I.G.I.-2: Covert Strike,China,Banned because of intentionally blackening China and the Chinese army's image.
Injustice: Gods Among Us,Injustice: Gods Among Us,United Arab Emirates,Despite being initially marketed for Middle Eastern distribution under the title Injustice: The Mighty Among Us the game failed to surpass the NMC's censors for a period of time and was banned likely for the case package and on-disc software title itself being identical to its European release with the term God retained (official reason not given however). The game had been demoed at various events in the U.A.E. without incident for many months prior to the official release date. The ban on the title had since been lifted though.
Kira Hara,Kira Hara,South Korea,Banned due to various sensitive materials.
KZ Manager,KZ Manager,Germany,Banned because of Nazi references.
L.A. Noire,L.A. Noire,Saudi Arabia,Banned because of nudity.
Left 4 Dead II,Left 4 Dead,Germany,Banned because of high impact violence and cruelty.
Leisure Suit Larry:Magna Cum Laude,Leisure Suit Larry,Australia,Banned due to sexuality and nudity in relation to incentives and rewards.
Mafia II,Mafia,United Arab Emirates,Banned likely due to excessive violence and nudity. The ban has since been lifted for digital versions of the game.
Manhunt (series),Manhunt,Australia,Originally rated MA15+. Federal Attorney-General Philip Ruddock later appealed the rating banning it because of high-impact violence involving torture.
Manhunt (series),Manhunt,Germany,Banned because of high impact scary violence and cruelty.
Manhunt (series),Manhunt,Malaysia,
Manhunt (series),Manhunt,New Zealand,Banned because of high impact scary violence and cruelty.
Manhunt (series),Manhunt,South Korea,Banned because of high impact scary violence and cruelty.
Manhunt II,Manhunt,Germany,Banned for gross unrelenting and gratuitous violence.
Manhunt II,Manhunt,Ireland,Banned for gross unrelenting and gratuitous violence.
Manhunt II,Manhunt,New Zealand,Banned for gross unrelenting and gratuitous violence.
Manhunt II,Manhunt,South Korea,Banned for gross unrelenting and gratuitous violence.
Manhunt II,Manhunt,United Kingdom,The uncut version was the only game to be refused classification by the BBFC (therefore banned) due to excessive violence. After this a modified version was made and submitted for certification - this was initially refused classification as well but was allowed to be sold after an appeal (despite a successful challenge to this ruling).
Marc Eckō's Getting Up:Contents Under Pressure,Marc Eckō's Getting Up:Contents Under Pressure,Australia,Originally released with an MA15+. Federal Attorney-General Philip Ruddock used his power to appeal the decision getting it banned for high impact themes involving the glorification of graffiti.
Mass Effect,Mass Effect,Singapore,Banned because of a lesbian encounter between a feminine alien and female human. The ban was later lifted.
Mass Effect II,Mass Effect,United Arab Emirates,Banned likely due to possible homosexual relationships.
Mass Effect III,Mass Effect,United Arab Emirates,Banned likely due to possible homosexual relationships.
Max Payne,Max Payne,United Arab Emirates,Banned likely due to excessive violence and sexual themes. Ban was issued roughly three weeks after official release date.
Medal of Honor IVX: Warfighter,Medal of Honor,Pakistan,Banned for portraying Pakistanis negatively.
Mercenaries I: Playground of Destruction,Mercenaries I,South Korea,Banned to avoid increasing diplomatic tensions with North Korea. Later lifted.
Mortal Kombat,Mortal Kombat,Brazil,Banned because of high impact violence and depictions of cruelty.
Mortal Kombat,Mortal Kombat,Germany,Was banned because of high impact violence and cruelty.
Mortal Kombat,Mortal Kombat,South Korea,Banned because of violence and cruelty.
Mortal Kombat II,Mortal Kombat,Germany,Was banned because of high impact violence and cruelty.
Mortal Kombat III,Mortal Kombat,Germany,Was banned because of high impact violence and cruelty.
Mortyr,Mortyr,Germany,Was banned because of Nazi references.
NARC (2005),NARC,Australia,Banned due to drug use related to incentives and rewards.
NecroVisioN,NecroVisioN,Australia,Banned because of high impact graphic violence. A censored version was later released with an M rating.
Phantasmagoria,Phantasmagoria,Australia,Banned because of a scene involving rape/sexual violence.
Pokémon Trading Card Game,Pokémon Trading Card Game,Saudi Arabia,Banned because of promotion Zionism
Postal,Postal,Australia,Banned due to depictions of revolting and abhorrent content.
Postal,Postal,China,Both banned because of high impact violence and offensive depictions of cruelty.
Postal II,Postal,Australia,Originally released unrated to some retail stores in Australia. When picked up for publishing in Australia it was banned because of excessive abhorrent and revolting content. The game and its expansions became available for purchase in the Steam store in 2012 without classification. It is yet to be taken down.
Postal II,Postal,New Zealand,Banned because of gory violence.
Postal II Demo Game,Postal,New Zealand,Banned for the use of urine in association with degrading and dehumanising conduct and to tend to promote and support the infliction of extreme violence and extreme cruelty.
RapeLay,RapeLay,Argentina,Banned because the object of the game is to stalk and rape a woman and her two daughters at least one of whom appears to be underage.
RapeLay,RapeLay,Indonesia,Excessive pornography and sexual violence.
RapeLay,RapeLay,New Zealand,Banned because it promotes and supports the exploitation of young persons for sexual purposes and the use of violence to compel a person to submit to sexual conduct.
Red Dead Redemption,Red Dead Redemption,Saudi Arabia,Banned due to nudity prostitution violence and cruelty.
Red Dead Redemption,Red Dead Redemption,United Arab Emirates,Initially banned likely due to nudity. Ban later lifted circa two months after official release date.
Requiem: Avenging Angel,Requiem: Avenging Angel,Brazil,Banned because of high impact violence.
Reservoir Dogs,Reservoir Dogs,Australia,Banned because of high impact violence and disturbing scenes of torture.
Reservoir Dogs,Reservoir Dogs,New Zealand,Banned because of high impact violence and cruelty.
Risen,Risen,Australia,Banned because of sexual activity and drug use related to incentives and rewards.
Saints Row III,Saints Row,United Arab Emirates,Banned likely due to sexual themes excessive violence and for the use of drugs and alcohol. Ban did not extend to digital versions of the games however.
Saints Row IV,Saints Row,Australia,Banned because of sexual violence and drug use related to incentives/rewards. An appeal was lodged but failed. An edited version was released lacking said content.
Saints Row IV,Saints Row,United Arab Emirates,Banned likely due to sexual themes excessive violence and for the use of drugs and alcohol. Ban did not extend to digital versions of the games however.
Scarface: The World is Yours,Scarface,Germany,Banned because of high impact violence and cruelty.
Shellshock II: Blood Trails,Shellshock,Australia,Banned because of high impact gory violence throughout.
Silent Hill VI: Homecoming,Silent Hill,Australia,Banned because of a high impact torture scene involving drilling into body parts. Konami has since modified this part of the game.
Silent Hill VI: Homecoming,Silent Hill,Germany,Banned because of high impact violence and cruelty.
Singles: Flirt Up Your Life,Singles: Flirt Up Your Life,Australia,Banned because of sexuality and nudity in relation to incentives and rewards.
Soldier of Fortune III: Payback,Soldier of Fortune,Australia,Banned because of high impact violence involving graphic depictions of dismemberment. Activision has since modified the game to receive an MA15+ rating.
Soldier of Fortune III: Payback,Soldier of Fortune,Germany,Banned due to high levels of gore (decapitations dismemberments and excessive blood-letting)
Sonic Blast Man,Sonic Blast Man,United States,Recalled and banned (due to federal law prohibiting resale of recalled items) from American arcades due to safety issues surrounding the game's punching bag controller
South Park: The Stick of Truth,South Park,Australia,Banned due to a scene of sexual violence involving minors. A version was released replacing said scene with a title card.
Spec Ops XI: The Line,Spec Ops,United Arab Emirates,Banned likely due to the game's fictional depiction of the U.A.E.'s real-life city of Dubai in a state of ravage and destruction. Unlike other banned games the NMC had extended their focus for this title going far as to issue the TRA to block the game's official website and subsequently stop the title's distribution throughout the rest of the GCC as well as Jordan and Lebanon. Local retailers such as Geekay Games are not even able to sell the game via their online shops to U.A.E. residents. Digital distribution platform Steam does not offer the game in the region although that is likely the publisher's decision. It is currently unknown whether the game would be available via PSN's official Middle Eastern hub.
State of Decay,State of Decay,Australia,Banned due to drug use related to incentives and rewards.
Syndicate,Syndicate,Australia,Banned for high impact violence including depictions of frequent mutilations.
The Cat In The Hat,The Cat In The Hat,Brazil,Banned due to a copyright claim by Discovery Communications.
The Darkness,The Darkness,Germany,Banned because of Nazi signs in bonus comic.
The Darkness,The Darkness,Singapore,Banned because of excessive violence. The ban was later lifted for the PlayStation 3 version.
The Getaway,The Getaway,Australia,Originally released uncut with an MA15+ it was later resubmitted and banned due to a scene of high impact torture. A censored version omitting this scene was later released with an MA15+.
The Godfather II,The Godfather,United Arab Emirates,Banned likely due to nudity.
The Guy Game,The Guy Game,United States,banned due to existing pornography laws
The Punisher,The Punisher,United Kingdom,Despite the game already being the edited American release it was threatened with being refused classification due to objectionable content: The interrogation scenes were deemed very high in impact and could cause harm to the public. The publishers made edits at the request of the BBFC to further mask these scenes and this final version received an 18 certificate.
The Witcher II,The Witcher,Australia,Banned because of sex related to incentive and rewards. A side quest was given a minor edit (changing the context of sex being used as an incentive) and the game was subsequently re-rated MA15+.
Three Sisters' Story,Three Sisters' Story,New Zealand,Banned because it tends to promote and support the use of violence to compel a person to submit to sexual conduct and the exploitation of young persons for sexual purposes.
Tom Clancy's Splinter Cell II: Pandora Tomorrow,Tom Clancy's Splinter Cell,Indonesia,Banned because an organization called Darah & Doa was considered as a threat by the President of Indonesia
Tom Clancy's Splinter Cell III: Chaos Theory,Tom Clancy's Splinter Cell,South Korea,Banned until 2006 because one of the levels has Sam Fisher in Seoul South Korea during a war with North Korea against South Korea and the United States.
Voyeur,Voyeur,Australia,Originally rated MA15+. Later appealed and banned because of a scene of high impact sexual dialogue involving incest.
Watch Dogs,Watch Dogs,United Arab Emirates,Initially banned and also withheld from regional distribution both physically and digitally likely due to sexual themes nudity excessive violence and for the use of drugs and alcohol. Despite the ban the game continues to be visibly listed on digital platforms like Steam. The game's local distributor had since confirmed that the title will be officially available in the U.A.E. and the rest of the region by August 15 2014 for some platforms (PS3 PS4 XB360) and without any in-game alterations. Since then The games has been released as the Gulf Region Edition. The official Xbox One version was not released until sometime after the console itself had its official launch in the region in September 2014 (albeit the console was already being imported and sold by various retailers prior to the official launch). The PC version remain unavailable however consequently blocking access to the downloadable version on Steam.
Wolfenstein,Wolfenstein,Germany,Banned because of Nazi references.
Wolfenstein 3D,Wolfenstein,Germany,Was banned because of Nazi references.